Accursed Jerkin	Darkspire Punisher
Greedy Gloves	War Spoils
Green Dahlia	Poppycake Peddler
Grim Armor	Grim Skull Sorcerer
Grim Elegance	Grim Mandate
Grim Wrapped Gauntlets	Grim Martyr
Grimplekin Goggles	Green Grimplekin
Grips of Lethality	Corpulith
Grips of Rapid Growth	Scion of Oberon
Grips of the Seedhearts	Tranquil Seedheart
Grips of the Warden	Battlement Spearman
Ground Pounder	Smash to the Ground
Grounding Boots	Glendower
Groundskeeper Gloves	Memory of the Fallen
Groupie's Wig	Final Performance
Grungy Ballet Slippers	Dingledance
Guardian Greaves	Slaughtergear's Guardians
Guardian's Aegis	Deathless Guardian
Guardians of the Galaxtar	Squirming Galaxtar
Guardsman's Grips	Phoenix Guard Harrier
Guiding Headcover	Warparty Guide
Guise of the Caster	Boltspasm
Hag Transport	Blightwater Hag
Halo of Glory	Angel of Glory
Hammer of the Witching Hour	Midnight Paladin
Hand of Denial	Deny
Hand of Lixil	Sir Draxard
Hand of the Thief	Circle of Ruination
Hand-Me-Down Gloves	Born to Die
Handbook of the Fatally Found	Bride of the Damned
Handpicked Handwraps	Rune Ear Recruiter
Hands from Hereafter	Hereafter
Hands of Justice	Bring To Justice
Hands of the Noble Heart	Noble Heart
Hands of the Sovereign	Vaarician
Hands of Wrath	Pool of Wrath
Handwraps of King Kagraza	Spirit of Kazraga
Hard Hatched Gloves	Hatchery Malvoker
Hare Trimmed Helmet	Probewarped Hare
Harmonious Cowl	Guiding Light
Harrier Twist Dagger	Phoenix Guard Harrier
Harvest Medallion	Harvester's Reaper
Harvesting Hands	Grim Harvester
Hastur's Tears	Harbinger of Hastur
Hasty Hard Hat	Gem Snatchers
Hasty Summoners	Grim Summons
Hat of the Witching Hour	Midnight Fever
Haunted Hauberk	Etherealize
Hawking Gloves	Phoenix Guard Messenger
Headband of Inquisition	Xentoth's Inquisitor
Headband of the Seekers	Sacred Seekers
Headband of the Troubadour	Ageless Troubadour
Headdress of Obstinance	Defiant Totemist
Headdress of the First Ritual	First Rites
Headdress of the Wind Foretold	Whispering Breeze
Headpiece of the Ardent	For the Ardent!
Healthy Heart Blade	Sora
Heartbeat Bow	Pucid's Whispers
Heartseeking Dagger	Lixil's Heartseeker
Heartsworn Collar	Heartsworn Caller
Heartsworn Throat Clutchers	Heartsworn Cutthroat
Heat Shield Goggles	Scraptech Brawler
Heathen's Idol	Oakhenge Ceremony
Heavy Bot Hammer	Heavy Welding Bot
Hedgesaurus Helm	Hedgeasaur
Heedless Headdress	Reckless Evoker
Hell Horror Helmet	Romor's Reckoning
Hellshot Vest	Hellshot Catapult
Helm of a Good Game	Entrath Settlers
Helm of Avarice	Chest'O Hex
Helm of Buoyancy	Clutch of the Depths
Helm of Capitulation	Succumb To Madness
Helm of Khloud	Mancubus
Helm of Life	Pact of Life
Helm of Many Faces	Living Totem
Helm of Revelation	Legionnaire of Adamanth
Helm of Reversion	Tinkertron
Helm of the Abbess	Sister Cynthia
Helm of the Automaton	Mega-Bot 9000
Helm of the Bombwright	Bombwright
Helm of the Dream Bear	Orson's Dream
Helm of the Elemental	Stormsprite
Helm of the Fanged Brood	Incubation Slave
Helm of the Highlands	Highlands Magus
Helm of the Moment	Lost In Time
Helm of the Monarchy	Queensguard
Helm of the Sanctuary	Zorath's Rectory
Helm of the Sun	Sun Seer
Helm of the Wild Cleric	Wild Child
Heretic Stompers	Acolyte of Xentoth
Heroes Armor	Heroic Echo
Hideous Hood	Conquest of Romor
High Counselor's Wand	Cerulean High Counselor
High Seas Raincoat	Hired Horn Captain
High-Rise Cloudbuster	Construction Plans: Tower Hulk
Highguard Hands	Cerulean Highguard
Highguard Helm	Cerulean Highguard
Hill Stompers	Subterranean Spy
Hired Horn Boots	Hired Horn Cutthroat
History of Entrath: Vol I	Skyspire Scholar
Hoarfrost Bracers	Hoarfrost Magus
Holy Beads	Protectorate Clergyman
Holy Hilted Blade	Uzume's Handmaiden
Hood of Insight	Tome of Knowledge
Hood of Leeching	Death Cap
Hood of Momentous Opportunity	Exalted Pathfinder
Hood of the Darkspire	Darkspire Tyrant
Hood of the Dragon Cultist	Zeedu
Hood of the Holiday Feast	Holiday
Hood of the Milky Eye	Milky Eye Venom
Hooded Walker	Ghost Walker
Hookah of Enlightenment	Professor Sporzin
Hoop of the Kraken	The Kraken
Hope Reborn	Hope on the Horizon
Horn of the Wool'vir	Wool'vir Baa'serker
Horned Helm	Radiant Salvation
Horticulturist's Machete	Hedgeasaur
Howling Headband	Wildwood Beastcaller
Hulk Helm	Construction Plans: War Hulk
Humble King's Crown	Pride's Fall
Hungering Battle Axe	Hunger of the Mountain God
Huntsman's Grips	Windsinger, Master of the Hunt
Hurricane Hands	Tempestuous Bladedancer
Hushed Cutter	Spectral Assassin
Icarian Slippers	Wings of Wax
Ice-Wrapped Arms	Hogarth the Mad
Icy Aviator's Cap	Woolly Moa
Idol of Kazraga	Spirit of Kazraga
Idol of the Concubunny	Uzume, Grand Concubunny
Illuminated Disc	Coins of Kismet
Illuminated Sheet Music	Choir of Lumos
Imagination Drafter	Ingenious Engineer
Imp Tools	Demolitionist Hijackers
Imperial Grips	Emperor Ito's Will
Imperial Headpiece	Emperor's Lackey
Improvised Helmet	Battle Chant
Incredibly Attractive Hair Piece	Master of Masks
Incubation Mace	Incubate
Infectious Toxin	Casualty of War
Inferno Bracer	Inferno Goliath
Infiltration Slippers	Runeweb Infiltrator
Infiltrator's Hood	Ridge Raider
Infinite Energy Conduit	Infinity Engine
Infinitely High Boots	High Infinitrix
Ink-Stained Gloves	Adamanthian Scrivener
Ink-Stained Vestments	Battle Scrivener
Insignia of the Marmot	Mystic Squirrel
Insulated Cover	Scutt's Sparker
Ironroot Gloves	Glimmerglen Witch
Ironsilk Stitches	Arachnomicon
Jackhat Controller	Jackhat Heckler
Jailor Boots	Fungal Monstrosity
Javelin of the Ayotochi	Ayotochi Brute
Jeering Jaw	Twisted Taunter
Jewel of the Exarch	Exarch of the Egg
Jinglejinx Gloves	Jinglejinx Witch
Judgment Day	Zeddek's Judgment
Juggernaut Ring	Rampaging Tarasque
Jungle Trekkers	Jungle Ambush
Junk Crown	Bombsmith
Jurassic Sandals	Savage Lord
Jurassic Vine Whip	Chlorosaur
Justicar's Jacket	Grim Justice
Kensei's Curved Blade	Soulblade Samurai
Kindling Gauntlets	Kindling Skarn
King Ook Bok's Crown	Battle of Destiny
Kingmaker Gloves	Crushing Blow
Kit Catchers	Fertile Engorger
Kog'Tepetl's Breastplate of Savage Regeneration	Claw of the Mountain God
Korru Galoshes	Korru Infiltrator
Kukatan Coin	Halls of Kukatan
Kunai	Blade Juggler
Lady Violet's Crown	Lady Violet Blightbark
Lamprax Beads	Lamprax Lurker
Lance Guard	Risen Lancer
Lantern of the Cloud Queen	Cloud Queen
Larch Leash	Wrathwood Larch
Large Cranium	
Large Monocle	Oculus of Azathoth
Lazgar Split Helm	Lazgar Chul
Leather Dueler's Duds	Ghostblade Duelist
Librarian's Shoes	Researcher Adept
Library pass	Book Smarts
Lifebinder Boots	Mylaanth the Lifebinder
Lifetaker Hood	Blood Aura
Lightning Infused Claw	Robotic Rapture
Lightning Medallion	Arena Brawler
Lightning Staff	Thunderfield Enchanter
Lightplate	Scouring Light
Lion's Head	Scarcliff Chimera
Little Nimomancer Sceptor	Nimomancer
Live Wire Handlers	Scrapyard Dynamo
Lixil's Ageless Brooch	Lixil, Heartsworn
Lixil's Sticker	Eye of Lixil
Llama-Skin Cloak	Llama Herder
Locket of Creation	Pupil of Creation
Locket of Lost Memories	Wailing Banshee
Locketech Jackhat	Zoltog of the Pack
Lodegan's Ring	King Lodegan's Verdict
Lone Ring	Ardent Fellowship
Lonely Axe	Solitary Exile
Long Wick	Scion of Lyvaanth
Lord Adam's Ballista	Citadel of Adamanth
Love Triangle	Lovebound
Lovebound Barbut	Lovebound
Loveinomicon	Pucid the Matchmaker
Low Gravity Claymore	Charge Hulk
Lowlife Wraps	Eager Lackey
Luminous Raiment	Devoted Luminist
Luminous Skylance	Lyvaanth's Skylancers
Lunatic Kickers	Maniacal Entrepreneur
Lyricist Quill	Lithe Lyricist
M.A.P. Maker's Pick	M.A.P.S. Bot
Maceration Makers	The Berry Bunch
Machination Sabatons	Malevolent Machinations
Maggot Marauders	Starving Lich
Magma Boots	Crackling Magma
Magma Waders	Molten Tides
Mallet of Miracles	Bulky Bisporus
Mandibles Mace	Giant Centipede
Mane of the Chimeerkat	Chimeerkat
Mangler's Tooth	Scraptooth Mangler
Manic Robes	Howling Madness
Mantle of Silent Purpose	Eternal Drifter
Manual of Martial Techniques	Moon'ariu Sensei
Marble Cutting Handguards	Soul Marble
Mark of Destruction	Rust and Ruin
Marked Card	Pippit Hustler
Marmaladers	Critical Jamage
Marshpit Club	Marshpits Troll
Mask of the Healer	Cleansing Touch
Mask of the Steel Assassin	Kill
Mask of the Windbourne	Windbourne Disciple
Masonry Gloves	Experienced Masons
Matching Locket	Locket of Reflection
Matchmaker's Mitts	Pucid the Matchmaker
Matron's Jeweled Amulet	Gemborn Matron
Matron's Vestment	Gemborn Matron
Maw of the Void	Pod of Shoggoth
Meat Carver	Callous Carver
Mechanical Sarcophagus	Reaper Bot
Medal of Falconry	Royal Falconer
Medal of the Master Gambit	Ebony Pawn
Medallion of Gliding	Duskwing Maiden
Medallion of the Arena	Moqui
Medallion of the Scraptooth	Scraptooth Bouncer
Medical Mace	Field Medic
Meditation Stompers	Iljuni Mediator
Melodists Bracers	Feralroot Songstress
Mentor's Slippers	Nori
Mercenary Gloves	Hired Horn Sellsword
Mercurial Boots	Alchemy Lab
Merry Mitts	Merry Mascot
Merryman Vestments	Friar Tusk
Metal, Mind Case	Psionic Barrage
Metasoma of Mutation	Nox Zealot
Meteorite Gauntlets	Dragon Guard Stalwart
Meteorite Grips	Rain of Meteors
Midnight Soiree Gown	Gobbleglade Witch
Midsummer Cloak	Puck, Dream Bringer
Mighty Hands	Might Makes Right
Mighty Morphing Glove	Morphology
Militia Marchers	Shin'hare Militia
Mim's Staff	Angel of Foresight
Mimicking Moccasins	Mimic
Mind Rakers	Mind Rake
Minstrel Baton	Ashwood Minstrel
Minstrel Gloves	Merry Minstrels
Mirthkin Loupe	Iljuni Mirthkin
Missionary Robes	Xentoth's Missionary
Mist Shroud	Phantasmal Slayer
Modular Breastplate	Lady Cassandra
Mollifying Mitts	Soothing Seedstag
Molten Corona	Cremate
Molten Mittens	Molten Tides
Monarch Vest	Kiss of the Princess
Monster Costume	Tricky Tykes
Moon Boots	Blizzard
Moon'ariu Saya	Battle Hardened Pa
Moqui's Bloodletter	Moqui
Mordrom's Heart Scepter	Heartsworn Mordrom
Morphing Footwraps	Polymorph: Dingler
Mossling Dandelion	Wrathwood Master Moss
Most Precious Thing	War Spoils
Mountain God's Vest	Hunger of the Mountain God
Mucus-Coated Mail	Scourgecrag Witch
Mud-caked Boots	Tilling the Soil
Mukluk of Starlight	Starlight Shaman
Mushroom Cap	Freaky Fungus
Musky Leather Gloves	Dream Stag
Mutt Whistle	Houndmaster of Ardevaas
Mystic Pipe	Dreamsmoke Mystic
Mystical Shawl	Arcane Dreamcatcher
Mythical Crown	Army of Myth
Name Claimer	Nameless Peddler
Nameless City Stilettos	Nameless Citizen
Nameless Kris	Nameless Truths
Nameless Mitts	Nameless Mists
Nature's Protection	Moldmass
Naughty and Nice	Yule Tide
Nebuloid	Coiling Nebulax
Necrohelm	Necrophet
Nefarious Helm	Nefarious Corruptor
Netcasting Merit Badge	Brood Net
Nibblin Knick Knack	Nibblin Skirmisher
Night Tearer	Nyctophobia
Night Wraps	Night of Bells
Nightbloom Trodders	Nightbloom
Nightsky Handlers	Nightsky Stargazer
Nimble Boots	Reginald Lancashire
Nimble Nimbus Boots	Cloud Runner
Ninja Shroud	Ninja Training
Nomad's Vest	Lost Wanderer
North Wind Chimes	Air Elemental
Nulzann Chest	Fiend of Nulzann
Nulzann's Malicious Injector	Sentry of Nulzann
Nulzann's Upgrade Boots	Scion of Nulzann
Nursery Handlers	Hatchery Priest
Oddly Shaped Sphere	Containment Sphere
Officer's Axe	Ardent Officer
Okka Chokka Okka Chokka	Drokka Outcast
Old Man's Chest	Old Man of the Sea
Old Reliable	Wounded War Hero
Omniloafers	
One Hundred Teeth	Piranha Swarm
Oni Headscarf	Swiftpaw Trickster
Orator's Doctrine	Nameless Orator
Orb of Harmony	Genesis Pool Naiad
Orchin Lenses	Orchi-Notion
Organ Trail Blazer	Blight Wagon
Otherworldly Claws	Claws of the Dead
Outrider's Clutch	Chimera Guard Outrider
Overkill Mace	Emperor Ito's Will
Owlmaster's Glove	Wizard of the Silver Talon
Ozawa's Bite	Ozawa, Cosmic Elder
Pactmaker's Bespoke Boots	Pactmaker Heretic
Pads of the Pious	Devoted Emissary
Page Flippers	Engrossed Bibliophile
Pal's Pajamas	Pippit Pal
Pale Harvest Healer	Pale Harvester
Pandemonium Perforators	The Ruin of Ripplewood
Pappy Jasper's Whip	Pappy Jasper
Party Hat	Merry Caravan
Patch of the Rover	Heroic Outlaw
Patience	Princess Victoria
Patrician's Armor	Noble Outrider
Patrician's Sword	Noble Outrider
Pearled Dagger	Hopeheart Unicorn
Pegasus Feather	Spearcliff Cavalier
Pendant of the Black Knife	Fiendish Cabalist
Pendant of the Eternal Soul	Guardian Angel
Pendant of the Grave Crawler	Minion of Yazukan
Pendant of the Triumvirate	Royal Herald
Perfect Strike Pendant	Mazat Ranger
Performer's Garb	Sylvan Duet
Peripheral Enhancers	Blindside
Phantasmal Armor	Spectral Acorn
Phantasmal Grips	Spectral Acorn
Phoenix Feather	Protectorate Sorcerer
Phoenix Guard Buttress	Phoenix Guard Tactician
Pick of Power	Transcend
Pint of Merry Ale	Alluring Alemaid
Pious Plate Gauntlets	Devout Crusader
Plague Burst Armor	Plagueheart
Plain Metal Helm	Glyph-covered Wall
Plans for Destruction	Tectonic Megahulk
Plasm Handlers	Gooplasm
Pocket Protector	Pocket Army
Poison-Tipped Blade	Noxious Banecap
Politician's Garb	Orders From High Command
Polymorphed Pelt	Belligerent Badger
Poor Yorick	Stirring Oration
Poppy Pouncers	Poppy Pixie
Porcini Paws	Shroom Party
Portable Alchemy Kit	Alchemy Lab
Portable Hole	Weave into Nothing
Porter Gauntlets	Blood Bearer
Potion of Swiftness	Oni Assassin
Powerforge Gauntlets	Samson, Lead Ballistics Engineer
Prairie Leather	Snarling Brave
Prairie Runners	Howling Brave
Precision Bow	Volley
Predatory Boots	Predatory Prey
Prefabrication Boots	Construct Guild Underboss
Prickly Ammo	Hellshot Catapult
Primitive Boots	Jurassic Spark
Primordial Bustier	Primordial Caves
Princess Boots	Princess Cory
Princess Gloves	Princess Cory
Proclamation Guardian	Underworld Decree
Proclamation Treads	Ardent Decree
Prodigen Gauntlet	Serrilith
Prodigen Helmet	Stratolith
Prodigy Gloves	Prodigy of Volosolov
Production Chestguard	Mass Produce
Production Template	Mass Produce
Professor's Sash	Professor Sporzin
Propagation Helm	VB1311
Prophecy Cover	Tale of Destiny
Prophetical Pipe	Prophet of the Sun
Proselytizing Sabotons	Xentoth's Missionary
Provoker's Helm	Ambershire Instigator
Prowling Slippers	Shadowblade Lurker
Psilocybin Slippers	Shroom Party
Puck's Piccolo	Final Performance
Puffball Ballista	Potent Puffball
Pulsating Blood Mind	The Killipede
Pulse Keeper	Impulse
Pureheart Armor	Dispel
Purgatory Palms	Life From Death
Purity Mark	Purify
Purple Pointed Purgers	Purging Flames
Purrrty Robes	Copycat
Purveyor's Grips	VB213
Pyre Stompers	Destructive Marauder
Pyre Weld Warhammer	Pyre Strike
Pyreblade Pendant	Pyreblade Slicer
Pyresmoke Tunic	Pyresmoke Cabalist
Pyretic Vestments	Pyre Ceremony
Pyroknight Chainmail	Pyroknight
Quazarion Boots	Greater Quazarus
Quick Flame Boots	Psionic Flame
Quicklitter Cottoncatcher	Snare Trapper
Quinary Gems	Exalted Professor
Qutzul-rider Leather	Qutzul Gorecaster
R.O.I.D.S.	R.O.I.D. Bot
Radiant Plate	Radiant Physician
Ragged Mourning Gown	Mentor of the Grave
Rainshaker Staff	Mentor of the Song
Rancid Mace	Paladin of Naagaan
Rancor Wedge	Rotten Rancor
Ranger's Loop	Sly Lookout
Ranger's Mitts	Valiant Escort
Raptor Boots	Pack Raptor
Raven's More	Mindsnatch Raven
Raver's Cleaver	Raving Ghoul
Razor Grips	High Tomb Lord
Razor Thorn Whip	Plant Garden
Razorboard Battle Axe	Razorboard Shredder
Reactive Power Core	Blaze of Glory
Reading Glasses	Book Smarts
Reaper's Footwraps	Unmerciful Tormentor
Reaper's Helm	Corrupt Harvester
Reaper's Scythe	Reaper Bot
Reaver Ringmail	Slaughtergear's Reaver
Reboot Gloves	Augmentation Bot
Reckless Robes	Reckless Evoker
Recruiter's Ring	Underworld Recruiter
Recycling Center	Scrapyard Recyclatron
Redefineable Adaptable Cuirass Device	S.P.A.M. Bot
Redfur Cap	Redfur Ranger
Redounding Odachi	Bucktooth Bannerbunny
Redshog's Brutal Helm	Feral Ogre
Reflective Gloves	Mirror, Mirror
Rendezvous Slippers	Pucid's Whispers
Rending Hammer	The Crowd Roars!
Replica Charm	Replica Reinforcements
Replica Rocket	Rustbucket Distractor
Replicator Helm	Slaughtergear's Replicator
Reptilian Faceplate	Kindling Skarn
Repurposed Robes	Awaken
Resplendent Chestguard	Radiant Armor
Resurgence Gown	Benediction of Lumos
Reverie Chestplate	Orson's Dream
Revised Priming Helm	Electroid
Riddle Facemask	Chrome Guardian
Rider's Glorious Chest	Glorious Pegasus
Rider's Glorious Headpiece	Glorious Pegasus
Rift-Stitched Gloves	Rift Spasm
Riftstorm Coat	Riftstorm
Rigid Bracer	Rigid Buffalo
Rime Walkers	Zephyn
Ring of Goodfellow	Puck, Dream Bringer
Ring of the Queensguard	Lady Cassandra
Ring of the White Tower	Shield Trainer
Ripped Garments	Smash Magus
Ripper Vest	Deadeye Ripper
Ritch-Ratchet Wrench	Frothfang Cackler
Ritual Robe of Xentoth	Xartaxis, Bishop of the Azure Fang
Robber's Gloves	Entrath Settlers
Robe of Ill Fate	Kismet's Reverie
Robes of Dark Rebirth	Corrupt Harvester
Robes of Infiltration	Highlands Shinobi
Robes of Interest	Engrossed Bibliophile
Robes of Sublime Sacrifice	Shin'hare Eulogist
Robes of the Mystic	Venerable Mystic
Robes of Yazukan	Disciple of Yazukan
Robo Readers	Tireless Researcher
Robo-Fused Armor	Tech-tician
Robo-Oil	Robogoyle
Robotic Multi-Tool	Recovery Specialist
Rock of the Scorpion King	Emperor Nox
Rock Throwing Gloves	Baby Yeti
Rock-Rider Gloves	Motor-Chariot
Rookie Boots	Deployment Orders
Rootforged Tunic	Rootforged Regalia
Rose Circlet	Ruby Aura
Rose Emblazoned Tabard	Herald of Roses
Rose of Continuity	Reversion
Rose Wilted Dress	Baroness Floriana
Roshi Cloak	Bucktooth Roshi
Rot Soup	Rot Cast
Rotting Boots	Crackling Rot
Rotwood Sandals	Rotroot Enchanter
Rowdy Rod	Rowdy Ringmaster
Royal Crib	Royal Stork
Royal Cuirass	King Lodegan's Verdict
Royal Halberd	Royal Halberdier
Royal Helm	King Lodegan's Call
Ruin Rod of Romor	Romor's Reckoning
Rumbling Buffers	Ready to Rumble
Rune Carved Seed	Runic Growth
Rune Carved Wand	Runic Missile
Rune Etched Blade	Runic Fury
Rune Repousse Helm	Runic Upheaval
Rune String Harp	Satyr's Song
Runebound Boots	Runebind
Runecarved Pickaxe	Runeseeker
Runecraft Gloves	Master Runecrafter
Runeflect Boots	Runeflection
Runestitched Leggings	Runeclaw Berserker
Runeweb Armguards	Runeweb Weaver
Runic Armor	Rite of Denial
Runic Headgear	Runeblast
Runt Spear	Runts of the Litter
Rusted Chestplate	Leeching Burrower
Rusty Chestplate	Optimatron
Rusty Knuckles	Nature Reigns
Sabatons of Lumos	Inquisitor of Lumos
Saboteur's Face Mask	Inventive Saboteur
Sabotons of Madness	Morsel of Madness
Sacred Stiletto	Chlorophyllia
Sacred Stone Staff	Monk of the Sacred Stones
Sacred Stones	Glimmerfly Dance
Sacrelegious Robes	Profane Ritualist
Sacrificial Blade of the Cabalist	Exalted Cabalist
Sadistic Stompers	Cruel Sentence
Safety Gloves	Cleanup Project
Sage's Vestments	Eternal Sage
Sample Gauntlets	Detox Bot
Samurai Kabuto	Hop'hiro, Samurai
Sanctuary Shoes	Jorgen's Workshop
Sanctuary Spade	Shoku's Garden
Sandals of Fealty	Spearcliff Cloud Knight
Sandals of the Martyr	Martyr
Sapper's Boots	Sapper's Charge
Saurian Gauntlets	Jadiim
Savage Headdress	Bellow of Briggadon
Savvas Absurdity Vest	Savvas' Evocation
Scale of Juurdin	Juurdin
Scaled Gloves	Zeedu
Scaly Cap	Chomposaur
Scarecrow's Scythe	Stingy Jack
Scavenger Club	Grave Nibbler
Scepter of Nightmares	Inner Conflict
Scepter of the Ancients	Vengeance of the Ancient Kings
Schemer's Hide	Illusionary Schemer
Scheming Mitts	Illusionary Schemer
Scorched Breastplate	Mentor of the Flames
Scorpio Aculeus	Sting of the Scorpinox
Scorpio Greaves	Spontaneous Combustion
Scorpio Pincers	Scorpinox
Scout's Brooch	Nazhk Lookout
Scout's Crossbow	Dawn Scout
Scout's Headband	Mesa Lookout
Scout's Shield	Strider Scout
Scrap Metal Plate	Scrap the Endless
Scrap Metal Shoes	Magnetize
Scrap Shooter	Scrapyard Recyclatron
Scrapyard Waders	Scrapyard Bruiser
Scrounged Flail	Nazhk Scrounger
Scrounger Gauntlets	Nazhk Scrounger
Scutt's Wire Puller	Scutt's Sparker
Scuttletux	Scuttlecrux
Scythe of the Stalker	Stalker of Marbaras
Seafaring Gloves	Drag to the Depths
Seaguard Helm	Kraken Guard Mariner
Searing Sword	Pyreblade Slicer
Seer's Regalia	Thunderfield Seer
Seismic Charge	Seismic Pounder
Self Sustaining Bucket	Hex Battery
Sepulcher's Blessing	Rise Again
Sepulchra Cuirass	Sepulchra Stalwart
Sepulchra Scarab	Sepulchra Maggot
Sepulchra Spinneret	Sepulchra Fleshreaver
Sepulchra Stone Sledge	Sepulchra Maggot
Seraph's Heart	Bastion of Adamanth
Serenity Hood	Prophet of Lodegan
Serf Clogs	Moshpit Gladiator
Servo Grips	Servo Slingshot
Servo Piston Fist	Servo Servant
Sewn Sigil Gloves	Sporeshambler
Shadow Ambush Hood	Horrific Poltergeist
Shadow Garrote	Butcher
Shadow Gloves	Darkspire Tyrant
Shadowtail Chalice	Shadowtail Rider
Shamrock's Gold Vest	Shamrock, The Goldfather
Shank	Bleak Bladetwister
Shard of Tiaanost	Tiaanost
Shard of Zakiir	The Wrath of Zakiir
Shard Stone Ring	Compulsive Gambler
Shardcaller's Necklace	Shardcall
Shawl of Vaelena	Seamstress of Vaelena
Shell on Wheels	Wolsy Wabbit
Shield of Illumination	Brightflame Paladin
Shiitake Shiv	Freaky Fungus
Shin'gami Sandals	Shin'gami
Shiny Cog	Mecha Filk Ape
Shocker Attachment	Reactor Bot
Shoes of Disgrace	Shamed Gladiator
Shoes of Divine Foresight	Zodiac Divination
Shogun's Curved Dagger	Monsuun, Shogun of Winda'jin
Shroom Boom	Boom Shroom
Shroom Mask	Shroomshaw
Shroom Swarm Seashore Shoes	Shroom Swarm
Shroud of Shadow	Shroud
Sickle of the Mistlord	Mistlord
Sidearm	Jet Cadet
Siegesaurus Hyde Gloves	Siegesaurus
Sight Shift Mask	Lanupaw's Sight
Sigil of Grace	Righteous Paladin
Sigil of Mostugh	Optimatron
Sigil of the Bleeding Cut	Throat Cutter
Sigil of the Triumvirate	Lord Adam, the Powerful
Signet of the Sword	Daring Swordsman
Silent Strike Armor	Spectral Assassin
Silk Fang Bow	Zilth
Silk Glove of the Unseeing	Sentinel of Nulzann
Silk Gloves of Starsight	Starsight Oracle
Silk Hardened Carapace	Zilth
Simple Heart of Solidarity	Alwyn
Singing Adornment	Song of the Sun
Sinister Cloak	Skulk of the Wastes
Sinister Stalkers	Skulk of the Wastes
Skarn Tail Skullguard	Skittering Skarn
Skarnskin Footwraps	Luminarie Kindler
Skeletal Kris	Furious Smasher
Skin Worn Delvers	Necrophage Sensei
Skindeep Infusion Device	Inkheart Infuser
Skittering Hood	Ushul
Skull Frenzy Charm	Zakiir's Frenzy
Sky Walkers	Water Elemental
Sky Watchers	Auspex of Lanupaw
Sky'le Blade	Sky'le Griffin
Skydancer Shoes	Skydancer
Skyhunter Gloves	Lightning Skyhunter
Skylancer's Breastplate	Skylance Captain
Skyshaper Paws	Typhoon Skyshaper
Skyward Robes	Cerulean Sky Mage
Slashmouth	Ballistar
Slaughtergear's Advanced Technology	Slaughtergear's Replicator
Slaughtergear's Crossbow	Slaughtergear's Reaver
Slaughtergear's Electric Gauntlet	Slaughtergear's Guardians
Slayer Trainer Goggles	Loregoyle Curator
Sling Stone Sleeve	Stingshot Sniper
Slippers of Devouring	Soul Devour
Slippers of Diversion	Distract
Slippers of Intellect	Sapphire Aura
Slippers of the Cloud Queen	Cloud Queen
Slippers of the Skirmisher	Graveblade Skirmisher
Slippers of the Witching Hour	Midnight Convergence
Smiter's Bracers	Ashwood Smiter
Smoke Bomb	Conceal
Smokeclaw Sai	Smokeclaw Raker
Snakeskin Boots	Vampython
Snakeskin Sandals	Genesis Hydra
Snatch and Vermin	Mindsnatch Raven
Snazzy Shoes	Reality Rift
Sneaky Garment	Sneakblade of the Milky Eye
Sneaky Sneakers	Darkspire Acolyte
Snicker Snack	Vorpus
Sniper's Arc	Monsagi Sniper
Sniper's Slippers	Rot Sniper
Snug Scale Slippers	Saarthu
Solebare Boots	Relentless Zombie
Soloist's Suit	Ashwood Soloist
Something Opaque	Something Borrowed
Song of the Ancestors	Oracle Song
Songbird Shoes	Cheery Songbird
Songstress's Lyre	Feralroot Songstress
Soul Buckled Gloves	Soulblade Samurai
Soul Carver	Soul Slaver
Soul Harvester	Harvest of Sorrow
Soul Touch Tachi	Soul of Raqqar
Soulcage	Courageous Soul
Soulcurser's Crown	Ryaalinth the Soulcursed
Soulrage Helm	Blood Cauldron Ritualist
Soulsteal Bracers	Soul Devour
Soup Stirrers	Shiitake Chef
Sous Chef Slippers	Shiitake Chef
Sovreign Sky Stalkers	Vaarician
Spark Mitts	Water Elemental
Sparkle Staff	Uncle Sparklestaff
Sparklestaff's Robe	Uncle Sparklestaff
Sparrowrider's Crossbow	Phoenix Guard Scout
Spear of the Crater Guard	Mazat Spearman
Spectral Ambush Boots	Spirit of Retribution
Spellcaster's Tunic	Refute
Spellstone Tunic	Spellstone Gargoyle
Spellstorm Striders	Spellstorm Titan
Spider Band	Goliath Spiderspawn
Spider Crown	Nazhk Lookout
Spider Fang	Parriphagy
Spiderspawn Breastplate	Giant Spiderspawn
Spiked Diggers	Excavation Bot
Spirit Depleters	Soul Siphoner
Spirit Eagle Feather	Spirit Eagle
Spirit Filled Decanter	Soul Siphoner
Spirit Flame Fingers	Pyresoul Summoner
Spirit Flame Staff	Pyresoul Magistrate
Spirit Strike Scarf	Spirit of Retribution
Spiritbound Robes	Spiritbound Vicar
Spiritbound Slippers	Spiritbound Spy
Spiritcaller Breastplate	King Lodegan's Call
Spiritlash	The Fate Rack
Spiritscourge Ring	Mistborn Wendigo
Spiritual Slippers	Lady Devonshire
Spiritualist Sandals	Rhythmic Spiritualist
Spiteful Adornment	Inquisitor's Spite
Splinter Spore Gloves	Splinterslam
Splintered Cudgel	Splinterslam
Splintered Touch	Sliver of the Immortal Spear
Spore Ball Hightops	Captured Flag
Spore Shine Shoots	Sporeshambler
Spring Litter Striders	Feeding the Young Ones
Spring-Loaded Action Treads	War Bot Dropship
Spritegang Spellbook	Arcane Spritegang
Sprouting Laureat	Royal Den Mother
